Program,Year,County,Commodity,Value
SURVEY,2024,GRAHAM,CATTLE, (D)
SURVEY,2024,HAYWOOD,CATTLE,"4,900"
SURVEY,2024,HAYWOOD,CATTLE,"1,100"
SURVEY,2024,HENDERSON,CATTLE, (D)
SURVEY,2024,HENDERSON,CATTLE, (D)
SURVEY,2024,JACKSON,CATTLE,"1,100"
SURVEY,2024,JACKSON,CATTLE, (D)
SURVEY,2024,MACON,CATTLE,"2,400"
SURVEY,2024,MACON,CATTLE, (D)
SURVEY,2024,MADISON,CATTLE,"3,000"
SURVEY,2024,MADISON,CATTLE, (D)
SURVEY,2024,MCDOWELL,CATTLE,"1,000"
SURVEY,2024,MCDOWELL,CATTLE, (D)
SURVEY,2024,MITCHELL,CATTLE,"1,000"
SURVEY,2024,MITCHELL,CATTLE, (D)
SURVEY,2024,POLK,CATTLE,"1,600"
SURVEY,2024,POLK,CATTLE, (D)
SURVEY,2024,RUTHERFORD,CATTLE,"5,800"
SURVEY,2024,RUTHERFORD,CATTLE, (D)
SURVEY,2024,SWAIN,CATTLE, (D)
SURVEY,2024,TRANSYLVANIA,CATTLE,700
SURVEY,2024,YANCEY,CATTLE, (D)
SURVEY,2024,OTHER COUNTIES,COTTON, (D)
SURVEY,2024,BEAUFORT,COTTON, (D)
SURVEY,2024,GREENE,COTTON, (D)
SURVEY,2024,JONES,COTTON, (D)
SURVEY,2024,LENOIR,COTTON, (D)
SURVEY,2024,PITT,COTTON, (D)
SURVEY,2024,WILSON,COTTON, (D)
SURVEY,2024,BERTIE,COTTON, (D)
SURVEY,2024,CHOWAN,COTTON, (D)
SURVEY,2024,EDGECOMBE,COTTON, (D)
SURVEY,2024,GATES,COTTON, (D)
SURVEY,2024,HALIFAX,COTTON,"108,450"
SURVEY,2024,HERTFORD,COTTON, (D)
SURVEY,2024,MARTIN,COTTON, (D)
SURVEY,2024,NASH,COTTON, (D)
SURVEY,2024,NORTHAMPTON,COTTON,"51,700"
SURVEY,2024,PERQUIMANS,COTTON, (D)
SURVEY,2024,BLADEN,COTTON, (D)
SURVEY,2024,CUMBERLAND,COTTON, (D)
SURVEY,2024,DUPLIN,COTTON, (D)
SURVEY,2024,HOKE,COTTON, (D)
SURVEY,2024,ROBESON,COTTON, (D)
SURVEY,2024,SAMPSON,COTTON, (D)
SURVEY,2024,ANSON,COTTON, (D)
SURVEY,2024,STANLY,COTTON, (D)
SURVEY,2024,OTHER COUNTIES,SWEET POTATOES,"60,600"
SURVEY,2024,JOHNSTON,SWEET POTATOES,"7,600"
SURVEY,2024,WILSON,SWEET POTATOES,"8,900"
SURVEY,2024,NASH,SWEET POTATOES,"8,900"
SURVEY,2024,COLUMBUS,SWEET POTATOES,500
SURVEY,2023,OTHER COUNTIES,CATTLE,"87,600"
SURVEY,2023,OTHER COUNTIES,CATTLE,"6,900"
SURVEY,2023,BEAUFORT,CATTLE,300
SURVEY,2023,CARTERET,CATTLE,300
SURVEY,2023,CRAVEN,CATTLE,"1,300"
SURVEY,2023,GREENE,CATTLE,"1,000"
SURVEY,2023,GREENE,CATTLE,300
SURVEY,2023,HYDE,CATTLE,200
SURVEY,2023,JOHNSTON,CATTLE,"5,500"
SURVEY,2023,JONES,CATTLE, (D)
SURVEY,2023,LENOIR,CATTLE,"2,200"
SURVEY,2023,PAMLICO,CATTLE, (D)
SURVEY,2023,PITT,CATTLE,"1,900"
SURVEY,2023,PITT,CATTLE, (D)
SURVEY,2023,WAYNE,CATTLE, (D)
SURVEY,2023,WAYNE,CATTLE, (D)
SURVEY,2023,WILSON,CATTLE,"1,500"
SURVEY,2023,ALEXANDER,CATTLE,"8,000"
SURVEY,2023,ALEXANDER,CATTLE,800
SURVEY,2023,CATAWBA,CATTLE,"5,700"
SURVEY,2023,CATAWBA,CATTLE,600
SURVEY,2023,CHATHAM,CATTLE,"17,400"
SURVEY,2023,CHATHAM,CATTLE,900
SURVEY,2023,DAVIDSON,CATTLE, (D)
SURVEY,2023,DAVIDSON,CATTLE, (D)
SURVEY,2023,DAVIE,CATTLE,"4,700"
SURVEY,2023,DAVIE,CATTLE,200
SURVEY,2023,IREDELL,CATTLE,"10,800"
SURVEY,2023,IREDELL,CATTLE,"10,500"
SURVEY,2023,LEE,CATTLE,"1,400"
SURVEY,2023,RANDOLPH,CATTLE,"15,500"
SURVEY,2023,RANDOLPH,CATTLE,"8,700"
SURVEY,2023,ROWAN,CATTLE,"8,100"
SURVEY,2023,ROWAN,CATTLE,"1,200"
SURVEY,2023,WAKE,CATTLE,"1,600"
SURVEY,2023,WAKE,CATTLE,400
SURVEY,2023,BERTIE,CATTLE,200
SURVEY,2023,CAMDEN,CATTLE,200
SURVEY,2023,CHOWAN,CATTLE,300
SURVEY,2023,CURRITUCK,CATTLE,100
SURVEY,2023,EDGECOMBE,CATTLE, (D)
SURVEY,2023,GATES,CATTLE,600
SURVEY,2023,GATES,CATTLE, (D)
SURVEY,2023,HALIFAX,CATTLE,"3,400"
SURVEY,2023,HALIFAX,CATTLE, (D)
SURVEY,2023,HERTFORD,CATTLE,100
SURVEY,2023,MARTIN,CATTLE, (D)
SURVEY,2023,NASH,CATTLE, (D)
SURVEY,2023,NASH,CATTLE, (D)
SURVEY,2023,NORTHAMPTON,CATTLE,400
SURVEY,2023,PASQUOTANK,CATTLE,200
SURVEY,2023,PERQUIMANS,CATTLE,200
SURVEY,2023,TYRRELL,CATTLE,100
SURVEY,2023,WASHINGTON,CATTLE,200
SURVEY,2023,ALLEGHANY,CATTLE,"9,700"
SURVEY,2023,ALLEGHANY,CATTLE,400
SURVEY,2023,ASHE,CATTLE,"4,600"
SURVEY,2023,ASHE,CATTLE,100
SURVEY,2023,AVERY,CATTLE,500
SURVEY,2023,AVERY,CATTLE, (D)
SURVEY,2023,CALDWELL,CATTLE, (D)
SURVEY,2023,SURRY,CATTLE,"10,200"
SURVEY,2023,SURRY,CATTLE,200
SURVEY,2023,WATAUGA,CATTLE, (D)
SURVEY,2023,WATAUGA,CATTLE, (D)
SURVEY,2023,WILKES,CATTLE,"14,800"
SURVEY,2023,WILKES,CATTLE,300
SURVEY,2023,YADKIN,CATTLE, (D)
SURVEY,2023,YADKIN,CATTLE, (D)
SURVEY,2023,ALAMANCE,CATTLE,"6,100"
SURVEY,2023,ALAMANCE,CATTLE,400
SURVEY,2023,CASWELL,CATTLE, (D)
SURVEY,2023,CASWELL,CATTLE,700
SURVEY,2023,DURHAM,CATTLE, (D)
SURVEY,2023,DURHAM,CATTLE, (D)
SURVEY,2023,FORSYTH,CATTLE,"1,500"
SURVEY,2023,FORSYTH,CATTLE, (D)
SURVEY,2023,FRANKLIN,CATTLE,"5,700"
SURVEY,2023,FRANKLIN,CATTLE, (D)
SURVEY,2023,GRANVILLE,CATTLE,"3,600"
SURVEY,2023,GRANVILLE,CATTLE,500
SURVEY,2023,GUILFORD,CATTLE,"3,700"
SURVEY,2023,GUILFORD,CATTLE,700
SURVEY,2023,ORANGE,CATTLE,"3,400"
SURVEY,2023,ORANGE,CATTLE, (D)
SURVEY,2023,PERSON,CATTLE, (D)
SURVEY,2023,PERSON,CATTLE, (D)
SURVEY,2023,ROCKINGHAM,CATTLE, (D)
SURVEY,2023,ROCKINGHAM,CATTLE, (D)
SURVEY,2023,STOKES,CATTLE,"3,900"
SURVEY,2023,STOKES,CATTLE, (D)
SURVEY,2023,VANCE,CATTLE, (D)
SURVEY,2023,WARREN,CATTLE, (D)
SURVEY,2023,BLADEN,CATTLE, (D)
SURVEY,2023,BLADEN,CATTLE, (D)
SURVEY,2023,BRUNSWICK,CATTLE, (D)
SURVEY,2023,BRUNSWICK,CATTLE, (D)
SURVEY,2023,COLUMBUS,CATTLE, (D)
SURVEY,2023,CUMBERLAND,CATTLE, (D)
SURVEY,2023,CUMBERLAND,CATTLE, (D)
SURVEY,2023,DUPLIN,CATTLE,"11,500"
SURVEY,2023,DUPLIN,CATTLE, (D)
SURVEY,2023,HARNETT,CATTLE,"3,000"
SURVEY,2023,HARNETT,CATTLE, (D)
SURVEY,2023,HOKE,CATTLE,800
SURVEY,2023,ONSLOW,CATTLE,"1,200"
SURVEY,2023,ONSLOW,CATTLE, (D)
SURVEY,2023,PENDER,CATTLE, (D)
SURVEY,2023,PENDER,CATTLE, (D)
SURVEY,2023,ROBESON,CATTLE,"4,100"
SURVEY,2023,ROBESON,CATTLE, (D)
SURVEY,2023,SAMPSON,CATTLE, (D)
SURVEY,2023,SAMPSON,CATTLE, (D)
SURVEY,2023,SCOTLAND,CATTLE,500
SURVEY,2023,ANSON,CATTLE, (D)
SURVEY,2023,ANSON,CATTLE, (D)
SURVEY,2023,CABARRUS,CATTLE,"5,000"
SURVEY,2023,CABARRUS,CATTLE,600
SURVEY,2023,CLEVELAND,CATTLE,"10,000"
SURVEY,2023,CLEVELAND,CATTLE,700
SURVEY,2023,GASTON,CATTLE, (D)
SURVEY,2023,GASTON,CATTLE, (D)
SURVEY,2023,LINCOLN,CATTLE,"4,600"
SURVEY,2023,LINCOLN,CATTLE,"2,000"
SURVEY,2023,MECKLENBURG,CATTLE,900
SURVEY,2023,MECKLENBURG,CATTLE, (D)
SURVEY,2023,MONTGOMERY,CATTLE, (D)
SURVEY,2023,MONTGOMERY,CATTLE, (D)
SURVEY,2023,MOORE,CATTLE,"6,800"
SURVEY,2023,MOORE,CATTLE, (D)
SURVEY,2023,RICHMOND,CATTLE,"1,800"
SURVEY,2023,STANLY,CATTLE, (D)
SURVEY,2023,STANLY,CATTLE, (D)
SURVEY,2023,UNION,CATTLE,"10,000"
SURVEY,2023,UNION,CATTLE,100
SURVEY,2023,BUNCOMBE,CATTLE,"6,500"
SURVEY,2023,BUNCOMBE,CATTLE,"1,300"
SURVEY,2023,BURKE,CATTLE,"2,800"
SURVEY,2023,BURKE,CATTLE, (D)
SURVEY,2023,CHEROKEE,CATTLE, (D)
SURVEY,2023,CHEROKEE,CATTLE, (D)
SURVEY,2023,CLAY,CATTLE,"1,600"
SURVEY,2023,GRAHAM,CATTLE,300
SURVEY,2023,GRAHAM,CATTLE, (D)
SURVEY,2023,HAYWOOD,CATTLE,"4,800"
SURVEY,2023,HAYWOOD,CATTLE,"1,200"
SURVEY,2023,HENDERSON,CATTLE, (D)
SURVEY,2023,HENDERSON,CATTLE, (D)
SURVEY,2023,JACKSON,CATTLE,"1,100"
SURVEY,2023,JACKSON,CATTLE, (D)
SURVEY,2023,MACON,CATTLE,"2,300"
SURVEY,2023,MACON,CATTLE, (D)
SURVEY,2023,MADISON,CATTLE,"2,900"
SURVEY,2023,MADISON,CATTLE, (D)
SURVEY,2023,MCDOWELL,CATTLE,900
SURVEY,2023,MCDOWELL,CATTLE, (D)
SURVEY,2023,MITCHELL,CATTLE,900
SURVEY,2023,MITCHELL,CATTLE, (D)
SURVEY,2023,POLK,CATTLE,"1,600"
SURVEY,2023,POLK,CATTLE, (D)
SURVEY,2023,RUTHERFORD,CATTLE,"5,700"
SURVEY,2023,RUTHERFORD,CATTLE, (D)
SURVEY,2023,SWAIN,CATTLE, (D)
SURVEY,2023,TRANSYLVANIA,CATTLE,700
SURVEY,2023,YANCEY,CATTLE, (D)
SURVEY,2023,YANCEY,CATTLE, (D)
SURVEY,2023,OTHER COUNTIES,COTTON, (D)
SURVEY,2023,BEAUFORT,COTTON, (D)
SURVEY,2023,GREENE,COTTON, (D)
SURVEY,2023,HYDE,COTTON, (D)
SURVEY,2023,JONES,COTTON, (D)
SURVEY,2023,LENOIR,COTTON, (D)
SURVEY,2023,PITT,COTTON, (D)
SURVEY,2023,WILSON,COTTON, (D)
SURVEY,2023,BERTIE,COTTON, (D)
SURVEY,2023,CHOWAN,COTTON, (D)
SURVEY,2023,EDGECOMBE,COTTON, (D)
SURVEY,2023,GATES,COTTON, (D)
SURVEY,2023,HALIFAX,COTTON,"165,050"
SURVEY,2023,HERTFORD,COTTON, (D)
SURVEY,2023,MARTIN,COTTON, (D)
SURVEY,2023,NASH,COTTON, (D)
SURVEY,2023,NORTHAMPTON,COTTON,"68,650"
SURVEY,2023,PERQUIMANS,COTTON, (D)
SURVEY,2023,BLADEN,COTTON, (D)
SURVEY,2023,CUMBERLAND,COTTON, (D)
SURVEY,2023,DUPLIN,COTTON, (D)
SURVEY,2023,HOKE,COTTON, (D)
SURVEY,2023,ROBESON,COTTON, (D)
SURVEY,2023,SAMPSON,COTTON, (D)
SURVEY,2023,ANSON,COTTON, (D)
SURVEY,2023,STANLY,COTTON, (D)
SURVEY,2023,OTHER COUNTIES,CORN,"90,100"
SURVEY,2023,OTHER COUNTIES,CORN,"80,700"
SURVEY,2023,OTHER COUNTIES,COTTON,"60,360"
SURVEY,2023,OTHER COUNTIES,PEANUTS,"31,840"
SURVEY,2023,OTHER COUNTIES,SOYBEANS,"78,650"
SURVEY,2023,OTHER COUNTIES,SWEET POTATOES,"39,000"
SURVEY,2023,OTHER COUNTIES,TURKEYS,"776,000"
SURVEY,2023,OTHER COUNTIES,WHEAT,"43,290"
SURVEY,2023,BEAUFORT,CORN,"44,000"
SURVEY,2023,BEAUFORT,CORN,"42,800"
SURVEY,2023,BEAUFORT,SOYBEANS,"66,300"
SURVEY,2023,BEAUFORT,TURKEYS, (D)
SURVEY,2023,BEAUFORT,WHEAT,"10,800"
SURVEY,2023,CARTERET,TURKEYS, (D)
SURVEY,2023,CRAVEN,CORN,"17,600"
SURVEY,2023,CRAVEN,CORN,"17,100"
SURVEY,2023,CRAVEN,SOYBEANS,"23,300"
SURVEY,2023,CRAVEN,TURKEYS, (D)
SURVEY,2023,CRAVEN,WHEAT,"3,540"
SURVEY,2023,GREENE,CORN,"11,000"
SURVEY,2023,GREENE,CORN,"10,700"
SURVEY,2023,GREENE,COTTON,"4,490"
SURVEY,2023,GREENE,PEANUTS,"6,080"
SURVEY,2023,GREENE,SOYBEANS,"36,200"
SURVEY,2023,GREENE,TURKEYS,"1,000,000"
SURVEY,2023,GREENE,WHEAT,"8,030"
SURVEY,2023,HYDE,COTTON,"10,800"
SURVEY,2023,HYDE,SOYBEANS,"34,000"
SURVEY,2023,HYDE,WHEAT,"4,850"
SURVEY,2023,JOHNSTON,CORN,"7,300"
SURVEY,2023,JOHNSTON,CORN,"7,080"
SURVEY,2023,JOHNSTON,COTTON,"4,590"
SURVEY,2023,JOHNSTON,PEANUTS,"3,670"
SURVEY,2023,JOHNSTON,SOYBEANS,"48,900"
SURVEY,2023,JOHNSTON,SWEET POTATOES,"7,500"
SURVEY,2023,JOHNSTON,TURKEYS,"360,000"
SURVEY,2023,JOHNSTON,WHEAT,"8,070"
SURVEY,2023,JONES,CORN,"18,000"
SURVEY,2023,JONES,CORN,"17,500"
SURVEY,2023,JONES,COTTON,"3,810"
SURVEY,2023,JONES,SOYBEANS,"24,000"
SURVEY,2023,JONES,TURKEYS,"420,000"
SURVEY,2023,LENOIR,CORN,"23,900"
SURVEY,2023,LENOIR,CORN,"23,200"
SURVEY,2023,LENOIR,COTTON,"5,440"
SURVEY,2023,LENOIR,PEANUTS,"2,980"
SURVEY,2023,LENOIR,SOYBEANS,"39,900"
SURVEY,2023,LENOIR,TURKEYS,"2,000,000"
SURVEY,2023,LENOIR,WHEAT,"9,030"
SURVEY,2023,PAMLICO,CORN,"15,900"
SURVEY,2023,PAMLICO,CORN,"15,500"
SURVEY,2023,PAMLICO,SOYBEANS,"16,300"
SURVEY,2023,PAMLICO,WHEAT,"2,430"
SURVEY,2023,PITT,CORN,"18,000"
SURVEY,2023,PITT,CORN,"17,500"
SURVEY,2023,PITT,COTTON,"13,200"
SURVEY,2023,PITT,PEANUTS,"9,830"
SURVEY,2023,PITT,SOYBEANS,"59,800"
SURVEY,2023,PITT,TURKEYS, (D)
SURVEY,2023,PITT,WHEAT,"8,630"
SURVEY,2023,WAYNE,CORN,"20,700"
SURVEY,2023,WAYNE,CORN,"20,100"
SURVEY,2023,WAYNE,COTTON,"4,880"
SURVEY,2023,WAYNE,PEANUTS,"7,450"
SURVEY,2023,WAYNE,SOYBEANS,"57,700"
SURVEY,2023,WAYNE,TURKEYS,"5,000,000"
SURVEY,2023,WAYNE,WHEAT,"13,400"
SURVEY,2023,WILSON,CORN,"6,200"
SURVEY,2023,WILSON,CORN,"6,020"
SURVEY,2023,WILSON,COTTON,"6,250"
SURVEY,2023,WILSON,SOYBEANS,"38,000"
SURVEY,2023,WILSON,SWEET POTATOES,"8,000"
SURVEY,2023,WILSON,TURKEYS, (D)
SURVEY,2023,WILSON,WHEAT,"7,820"
SURVEY,2023,ALEXANDER,CORN,"2,800"
SURVEY,2023,ALEXANDER,CORN,"1,500"
SURVEY,2023,ALEXANDER,SOYBEANS,"2,670"
SURVEY,2023,CATAWBA,CORN,"5,200"
SURVEY,2023,CATAWBA,CORN,"4,900"
SURVEY,2023,CATAWBA,SOYBEANS,"7,290"
SURVEY,2023,CATAWBA,TURKEYS, (D)
SURVEY,2023,CATAWBA,WHEAT,"2,490"
SURVEY,2023,CHATHAM,CORN,"4,100"
SURVEY,2023,CHATHAM,CORN,"3,100"
SURVEY,2023,CHATHAM,SOYBEANS,"2,150"
SURVEY,2023,CHATHAM,TURKEYS, (D)
SURVEY,2023,CHATHAM,WHEAT,600
SURVEY,2023,DAVIDSON,CORN,"6,800"
SURVEY,2023,DAVIDSON,CORN,"6,100"
SURVEY,2023,DAVIDSON,SOYBEANS,"11,200"
SURVEY,2023,DAVIDSON,TURKEYS, (D)
SURVEY,2023,DAVIDSON,WHEAT,"2,530"
SURVEY,2023,DAVIE,CORN,"7,800"
SURVEY,2023,DAVIE,CORN,"7,550"
SURVEY,2023,DAVIE,SOYBEANS,"9,240"
SURVEY,2023,DAVIE,WHEAT,"2,060"
SURVEY,2023,IREDELL,CORN,"21,600"
SURVEY,2023,IREDELL,CORN,"13,500"
SURVEY,2023,IREDELL,SOYBEANS,"16,500"
SURVEY,2023,IREDELL,TURKEYS, (D)
SURVEY,2023,IREDELL,WHEAT,"7,090"
SURVEY,2023,LEE,CORN,"1,700"
SURVEY,2023,LEE,CORN,"1,600"
SURVEY,2023,LEE,SOYBEANS,"4,070"
SURVEY,2023,LEE,WHEAT,"2,080"
SURVEY,2023,RANDOLPH,CORN,"11,100"
SURVEY,2023,RANDOLPH,CORN,"10,500"
SURVEY,2023,RANDOLPH,SOYBEANS,"9,640"
SURVEY,2023,RANDOLPH,TURKEYS, (D)
SURVEY,2023,RANDOLPH,WHEAT,"4,490"
SURVEY,2023,ROWAN,CORN,"10,600"
SURVEY,2023,ROWAN,CORN,"9,900"
SURVEY,2023,ROWAN,SOYBEANS,"21,200"
SURVEY,2023,ROWAN,TURKEYS, (D)
SURVEY,2023,ROWAN,WHEAT,"6,590"
SURVEY,2023,WAKE,CORN,"1,300"
SURVEY,2023,WAKE,CORN,900
SURVEY,2023,WAKE,SOYBEANS,"10,300"
SURVEY,2023,WAKE,SWEET POTATOES,600
SURVEY,2023,WAKE,TURKEYS,"4,000"
SURVEY,2023,WAKE,WHEAT,"1,650"
SURVEY,2023,BERTIE,CORN,"13,100"
SURVEY,2023,BERTIE,CORN,"12,700"
SURVEY,2023,BERTIE,COTTON,"32,200"
SURVEY,2023,BERTIE,PEANUTS,"8,940"
SURVEY,2023,BERTIE,SOYBEANS,"28,900"
SURVEY,2023,BERTIE,WHEAT,"6,410"
SURVEY,2023,CAMDEN,CORN,"18,400"
SURVEY,2023,CAMDEN,CORN,"17,900"
SURVEY,2023,CAMDEN,SOYBEANS,"25,100"
SURVEY,2023,CAMDEN,WHEAT,"4,530"
SURVEY,2023,CHOWAN,CORN,"4,600"
SURVEY,2023,CHOWAN,CORN,"4,460"
SURVEY,2023,CHOWAN,COTTON,"13,600"
SURVEY,2023,CHOWAN,PEANUTS,"4,360"
SURVEY,2023,CHOWAN,SOYBEANS,"15,100"
SURVEY,2023,CHOWAN,WHEAT,"3,180"
SURVEY,2023,CURRITUCK,CORN,"10,000"
SURVEY,2023,CURRITUCK,CORN,"9,700"
SURVEY,2023,CURRITUCK,SOYBEANS,"16,800"
SURVEY,2023,CURRITUCK,WHEAT,"3,900"
SURVEY,2023,EDGECOMBE,CORN,"9,300"
SURVEY,2023,EDGECOMBE,CORN,"9,020"
SURVEY,2023,EDGECOMBE,COTTON,"25,800"
SURVEY,2023,EDGECOMBE,PEANUTS,"8,430"
SURVEY,2023,EDGECOMBE,SOYBEANS,"42,800"
SURVEY,2023,EDGECOMBE,SWEET POTATOES,"8,400"
SURVEY,2023,EDGECOMBE,TURKEYS, (D)
SURVEY,2023,GATES,CORN,"3,800"
SURVEY,2023,GATES,CORN,"3,690"
