Program,Year,County,Commodity,Value(acres)
CENSUS,2022,VANCE,AG LAND,"3,634"
CENSUS,2022,WARREN,AG LAND,"3,347"
CENSUS,2022,WARREN,AG LAND,"16,807"
CENSUS,2022,WARREN,AG LAND,"3,289"
CENSUS,2022,BLADEN,AG LAND,"15,720"
CENSUS,2022,BLADEN,AG LAND,"29,322"
CENSUS,2022,BLADEN,AG LAND,"1,301"
CENSUS,2022,BRUNSWICK,AG LAND,"2,820"
CENSUS,2022,BRUNSWICK,AG LAND,"23,492"
CENSUS,2022,BRUNSWICK,AG LAND,187
CENSUS,2022,COLUMBUS,AG LAND,"6,640"
CENSUS,2022,COLUMBUS,AG LAND,"62,074"
CENSUS,2022,COLUMBUS,AG LAND,"2,105"
CENSUS,2022,CUMBERLAND,AG LAND,"5,399"
CENSUS,2022,CUMBERLAND,AG LAND,"23,093"
CENSUS,2022,CUMBERLAND,AG LAND,"2,835"
CENSUS,2022,DUPLIN,AG LAND,"23,838"
CENSUS,2022,DUPLIN,AG LAND,"115,117"
CENSUS,2022,DUPLIN,AG LAND,"18,713"
CENSUS,2022,HARNETT,AG LAND,"4,427"
CENSUS,2022,HARNETT,AG LAND,"58,478"
CENSUS,2022,HARNETT,AG LAND,"3,796"
CENSUS,2022,HOKE,AG LAND, (D)
CENSUS,2022,HOKE,AG LAND,"11,715"
CENSUS,2022,HOKE,AG LAND, (D)
CENSUS,2022,NEW HANOVER,AG LAND,270
CENSUS,2022,NEW HANOVER,AG LAND,495
CENSUS,2022,NEW HANOVER,AG LAND,27
CENSUS,2022,ONSLOW,AG LAND,"3,963"
CENSUS,2022,ONSLOW,AG LAND,"25,100"
CENSUS,2022,ONSLOW,AG LAND,"1,665"
CENSUS,2022,PENDER,AG LAND,"2,576"
CENSUS,2022,PENDER,AG LAND,"32,024"
CENSUS,2022,PENDER,AG LAND,"3,876"
CENSUS,2022,ROBESON,AG LAND,"17,144"
CENSUS,2022,ROBESON,AG LAND,"156,360"
CENSUS,2022,ROBESON,AG LAND,"3,565"
CENSUS,2022,SAMPSON,AG LAND,"23,454"
CENSUS,2022,SAMPSON,AG LAND,"135,664"
CENSUS,2022,SAMPSON,AG LAND,"15,893"
CENSUS,2022,SCOTLAND,AG LAND,"3,530"
CENSUS,2022,SCOTLAND,AG LAND,"21,110"
CENSUS,2022,ANSON,AG LAND,"5,052"
CENSUS,2022,ANSON,AG LAND,"20,097"
CENSUS,2022,ANSON,AG LAND,548
CENSUS,2022,CABARRUS,AG LAND,"9,256"
CENSUS,2022,CABARRUS,AG LAND,"21,801"
CENSUS,2022,CABARRUS,AG LAND,860
CENSUS,2022,CLEVELAND,AG LAND,"9,017"
CENSUS,2022,CLEVELAND,AG LAND,"28,496"
CENSUS,2022,CLEVELAND,AG LAND,"3,240"
CENSUS,2022,GASTON,AG LAND,"3,819"
CENSUS,2022,GASTON,AG LAND,"9,393"
CENSUS,2022,GASTON,AG LAND,662
CENSUS,2022,LINCOLN,AG LAND,"5,142"
CENSUS,2022,LINCOLN,AG LAND,"17,081"
CENSUS,2022,LINCOLN,AG LAND,260
CENSUS,2022,MECKLENBURG,AG LAND,"1,134"
CENSUS,2022,MECKLENBURG,AG LAND,844
CENSUS,2022,MECKLENBURG,AG LAND,352
CENSUS,2022,MONTGOMERY,AG LAND,"3,211"
CENSUS,2022,MONTGOMERY,AG LAND,"6,558"
CENSUS,2022,MONTGOMERY,AG LAND,"1,354"
CENSUS,2022,MOORE,AG LAND,"5,859"
CENSUS,2022,MOORE,AG LAND,"15,266"
CENSUS,2022,MOORE,AG LAND,127
CENSUS,2022,RICHMOND,AG LAND,"1,935"
CENSUS,2022,RICHMOND,AG LAND,"7,457"
CENSUS,2022,RICHMOND,AG LAND,"1,056"
CENSUS,2022,STANLY,AG LAND,"8,150"
CENSUS,2022,STANLY,AG LAND,"48,087"
CENSUS,2022,STANLY,AG LAND,"4,697"
CENSUS,2022,UNION,AG LAND,"31,398"
CENSUS,2022,UNION,AG LAND,"105,648"
CENSUS,2022,UNION,AG LAND,"4,265"
CENSUS,2022,BUNCOMBE,AG LAND,"7,417"
CENSUS,2022,BUNCOMBE,AG LAND,"7,713"
CENSUS,2022,BUNCOMBE,AG LAND,863
CENSUS,2022,BURKE,AG LAND,"3,285"
CENSUS,2022,BURKE,AG LAND,"7,607"
CENSUS,2022,BURKE,AG LAND,"1,258"
CENSUS,2022,CHEROKEE,AG LAND,"1,017"
CENSUS,2022,CHEROKEE,AG LAND,"3,895"
CENSUS,2022,CHEROKEE,AG LAND,702
CENSUS,2022,CLAY,AG LAND,"1,520"
CENSUS,2022,CLAY,AG LAND,"3,667"
CENSUS,2022,CLAY,AG LAND,164
CENSUS,2022,GRAHAM,AG LAND, (D)
CENSUS,2022,GRAHAM,AG LAND, (D)
CENSUS,2022,GRAHAM,AG LAND, (D)
CENSUS,2022,HAYWOOD,AG LAND,"4,060"
CENSUS,2022,HAYWOOD,AG LAND,"5,089"
CENSUS,2022,HAYWOOD,AG LAND,296
CENSUS,2022,HENDERSON,AG LAND,"3,653"
CENSUS,2022,HENDERSON,AG LAND,"8,389"
CENSUS,2022,HENDERSON,AG LAND,"3,574"
CENSUS,2022,JACKSON,AG LAND,"1,315"
CENSUS,2022,JACKSON,AG LAND,"2,661"
CENSUS,2022,JACKSON,AG LAND,202
CENSUS,2022,MACON,AG LAND,"1,165"
CENSUS,2022,MACON,AG LAND,"2,589"
CENSUS,2022,MACON,AG LAND,194
CENSUS,2022,MADISON,AG LAND,"3,785"
CENSUS,2022,MADISON,AG LAND,"1,735"
CENSUS,2022,MADISON,AG LAND,147
CENSUS,2022,MCDOWELL,AG LAND,"1,515"
CENSUS,2022,MCDOWELL,AG LAND,"1,562"
CENSUS,2022,MCDOWELL,AG LAND,87
CENSUS,2022,MITCHELL,AG LAND,862
CENSUS,2022,MITCHELL,AG LAND,"1,363"
CENSUS,2022,MITCHELL,AG LAND,232
CENSUS,2022,POLK,AG LAND,"2,397"
CENSUS,2022,POLK,AG LAND,"2,960"
CENSUS,2022,POLK,AG LAND,146
CENSUS,2022,RUTHERFORD,AG LAND,"4,715"
CENSUS,2022,RUTHERFORD,AG LAND,"10,639"
CENSUS,2022,RUTHERFORD,AG LAND,363
CENSUS,2022,SWAIN,AG LAND,172
CENSUS,2022,SWAIN,AG LAND, (D)
CENSUS,2022,SWAIN,AG LAND, (D)
CENSUS,2022,TRANSYLVANIA,AG LAND,"1,384"
CENSUS,2022,TRANSYLVANIA,AG LAND,905
CENSUS,2022,TRANSYLVANIA,AG LAND,134
CENSUS,2022,YANCEY,AG LAND,"1,278"
CENSUS,2022,YANCEY,AG LAND,"2,713"
CENSUS,2022,YANCEY,AG LAND,188
CENSUS,2017,BEAUFORT,AG LAND,"8,987"
CENSUS,2017,BEAUFORT,AG LAND,"81,242"
CENSUS,2017,BEAUFORT,AG LAND,"24,584"
CENSUS,2017,CARTERET,AG LAND, (D)
CENSUS,2017,CARTERET,AG LAND, (D)
CENSUS,2017,CARTERET,AG LAND, (D)
CENSUS,2017,CRAVEN,AG LAND,"4,915"
CENSUS,2017,CRAVEN,AG LAND,"46,951"
CENSUS,2017,CRAVEN,AG LAND,"6,699"
CENSUS,2017,GREENE,AG LAND,"2,925"
CENSUS,2017,GREENE,AG LAND,"49,284"
CENSUS,2017,GREENE,AG LAND,"14,403"
CENSUS,2017,HYDE,AG LAND,"6,540"
CENSUS,2017,HYDE,AG LAND,"70,688"
CENSUS,2017,HYDE,AG LAND,"7,651"
CENSUS,2017,JOHNSTON,AG LAND,"13,050"
CENSUS,2017,JOHNSTON,AG LAND,"102,430"
CENSUS,2017,JOHNSTON,AG LAND,"2,966"
CENSUS,2017,JONES,AG LAND,"1,217"
CENSUS,2017,JONES,AG LAND,"41,738"
CENSUS,2017,JONES,AG LAND,"2,903"
CENSUS,2017,LENOIR,AG LAND,"7,930"
CENSUS,2017,LENOIR,AG LAND,"64,149"
CENSUS,2017,LENOIR,AG LAND,"10,489"
CENSUS,2017,PAMLICO,AG LAND, (D)
CENSUS,2017,PAMLICO,AG LAND,"31,749"
CENSUS,2017,PAMLICO,AG LAND, (D)
CENSUS,2017,PITT,AG LAND,"10,268"
CENSUS,2017,PITT,AG LAND,"104,799"
CENSUS,2017,PITT,AG LAND,"20,136"
CENSUS,2017,WAYNE,AG LAND,"7,475"
CENSUS,2017,WAYNE,AG LAND,"108,650"
CENSUS,2017,WAYNE,AG LAND,"7,492"
CENSUS,2017,WILSON,AG LAND,"2,347"
CENSUS,2017,WILSON,AG LAND,"87,749"
CENSUS,2017,WILSON,AG LAND,"5,650"
CENSUS,2017,ALEXANDER,AG LAND,"3,750"
CENSUS,2017,ALEXANDER,AG LAND,"13,361"
CENSUS,2017,ALEXANDER,AG LAND,"1,507"
CENSUS,2017,CATAWBA,AG LAND,"4,858"
CENSUS,2017,CATAWBA,AG LAND,"25,267"
CENSUS,2017,CATAWBA,AG LAND,"1,335"
CENSUS,2017,CHATHAM,AG LAND,"8,670"
CENSUS,2017,CHATHAM,AG LAND,"17,391"
CENSUS,2017,CHATHAM,AG LAND,"1,134"
CENSUS,2017,DAVIDSON,AG LAND,"10,716"
CENSUS,2017,DAVIDSON,AG LAND,"26,301"
CENSUS,2017,DAVIDSON,AG LAND,877
CENSUS,2017,DAVIE,AG LAND,"6,435"
CENSUS,2017,DAVIE,AG LAND,"25,253"
CENSUS,2017,DAVIE,AG LAND,"2,061"
CENSUS,2017,IREDELL,AG LAND,"12,364"
CENSUS,2017,IREDELL,AG LAND,"47,172"
CENSUS,2017,IREDELL,AG LAND,"2,050"
CENSUS,2017,LEE,AG LAND,"1,257"
CENSUS,2017,LEE,AG LAND,"14,470"
CENSUS,2017,LEE,AG LAND,278
CENSUS,2017,RANDOLPH,AG LAND,"15,573"
CENSUS,2017,RANDOLPH,AG LAND,"37,170"
CENSUS,2017,RANDOLPH,AG LAND,"1,784"
CENSUS,2017,ROWAN,AG LAND,"8,972"
CENSUS,2017,ROWAN,AG LAND,"45,507"
CENSUS,2017,ROWAN,AG LAND,"5,954"
CENSUS,2017,WAKE,AG LAND,"7,296"
CENSUS,2017,WAKE,AG LAND,"27,224"
CENSUS,2017,WAKE,AG LAND,"2,331"
CENSUS,2017,BERTIE,AG LAND,"7,535"
CENSUS,2017,BERTIE,AG LAND,"76,725"
CENSUS,2017,BERTIE,AG LAND,"16,570"
CENSUS,2017,CAMDEN,AG LAND,"4,117"
CENSUS,2017,CAMDEN,AG LAND,"25,488"
CENSUS,2017,CAMDEN,AG LAND,"23,840"
CENSUS,2017,CHOWAN,AG LAND,"1,895"
CENSUS,2017,CHOWAN,AG LAND,"35,355"
CENSUS,2017,CHOWAN,AG LAND,"4,375"
CENSUS,2017,CURRITUCK,AG LAND,"1,064"
CENSUS,2017,CURRITUCK,AG LAND,"26,955"
CENSUS,2017,CURRITUCK,AG LAND,"6,653"
CENSUS,2017,DARE,AG LAND,121
CENSUS,2017,DARE,AG LAND,"2,239"
CENSUS,2017,DARE,AG LAND,3
CENSUS,2017,EDGECOMBE,AG LAND,"7,161"
CENSUS,2017,EDGECOMBE,AG LAND,"80,204"
CENSUS,2017,EDGECOMBE,AG LAND,"11,277"
CENSUS,2017,GATES,AG LAND,"2,906"
CENSUS,2017,GATES,AG LAND,"40,659"
CENSUS,2017,GATES,AG LAND,309
CENSUS,2017,HALIFAX,AG LAND,"12,405"
CENSUS,2017,HALIFAX,AG LAND,"105,101"
CENSUS,2017,HALIFAX,AG LAND,"5,768"
CENSUS,2017,HERTFORD,AG LAND,"1,498"
CENSUS,2017,HERTFORD,AG LAND,"47,119"
CENSUS,2017,HERTFORD,AG LAND,"4,747"
CENSUS,2017,MARTIN,AG LAND,"8,344"
CENSUS,2017,MARTIN,AG LAND,"76,821"
CENSUS,2017,MARTIN,AG LAND,"12,610"
CENSUS,2017,NASH,AG LAND,"2,368"
CENSUS,2017,NASH,AG LAND,"64,841"
CENSUS,2017,NASH,AG LAND,"18,661"
CENSUS,2017,NORTHAMPTON,AG LAND,"8,878"
CENSUS,2017,NORTHAMPTON,AG LAND,"86,308"
CENSUS,2017,NORTHAMPTON,AG LAND,"6,157"
CENSUS,2017,PASQUOTANK,AG LAND,"2,297"
CENSUS,2017,PASQUOTANK,AG LAND,"48,696"
CENSUS,2017,PASQUOTANK,AG LAND,"17,566"
CENSUS,2017,PERQUIMANS,AG LAND,"4,532"
CENSUS,2017,PERQUIMANS,AG LAND,"66,588"
CENSUS,2017,PERQUIMANS,AG LAND,"1,900"
CENSUS,2017,TYRRELL,AG LAND,"1,292"
CENSUS,2017,TYRRELL,AG LAND,"41,834"
CENSUS,2017,TYRRELL,AG LAND,"7,106"
CENSUS,2017,WASHINGTON,AG LAND,"2,030"
CENSUS,2017,WASHINGTON,AG LAND,"52,343"
CENSUS,2017,WASHINGTON,AG LAND,"13,623"
CENSUS,2017,ALLEGHANY,AG LAND,"8,726"
CENSUS,2017,ALLEGHANY,AG LAND,"13,105"
CENSUS,2017,ALLEGHANY,AG LAND,269
CENSUS,2017,ASHE,AG LAND,"8,859"
CENSUS,2017,ASHE,AG LAND,"18,180"
CENSUS,2017,ASHE,AG LAND,957
CENSUS,2017,AVERY,AG LAND,"5,241"
CENSUS,2017,AVERY,AG LAND,"2,933"
CENSUS,2017,AVERY,AG LAND,242
CENSUS,2017,CALDWELL,AG LAND,"4,986"
CENSUS,2017,CALDWELL,AG LAND,"6,885"
CENSUS,2017,CALDWELL,AG LAND,113
CENSUS,2017,SURRY,AG LAND,"11,178"
CENSUS,2017,SURRY,AG LAND,"43,777"
CENSUS,2017,SURRY,AG LAND,"3,011"
CENSUS,2017,WATAUGA,AG LAND, (D)
CENSUS,2017,WATAUGA,AG LAND,"8,451"
CENSUS,2017,WATAUGA,AG LAND, (D)
CENSUS,2017,WILKES,AG LAND,"8,400"
CENSUS,2017,WILKES,AG LAND,"24,572"
CENSUS,2017,WILKES,AG LAND,"1,826"
CENSUS,2017,YADKIN,AG LAND,"6,172"
CENSUS,2017,YADKIN,AG LAND,"37,519"
CENSUS,2017,YADKIN,AG LAND,679
CENSUS,2017,ALAMANCE,AG LAND,"5,465"
CENSUS,2017,ALAMANCE,AG LAND,"18,716"
CENSUS,2017,ALAMANCE,AG LAND,"1,162"
CENSUS,2017,CASWELL,AG LAND,"4,738"
CENSUS,2017,CASWELL,AG LAND,"14,224"
CENSUS,2017,CASWELL,AG LAND,90
CENSUS,2017,DURHAM,AG LAND,"2,135"
CENSUS,2017,DURHAM,AG LAND,"2,208"
CENSUS,2017,DURHAM,AG LAND,86
CENSUS,2017,FORSYTH,AG LAND,"4,059"
CENSUS,2017,FORSYTH,AG LAND,"7,946"
CENSUS,2017,FORSYTH,AG LAND,359
CENSUS,2017,FRANKLIN,AG LAND,"6,093"
CENSUS,2017,FRANKLIN,AG LAND,"28,268"
CENSUS,2017,FRANKLIN,AG LAND,"2,744"
CENSUS,2017,GRANVILLE,AG LAND,"6,672"
CENSUS,2017,GRANVILLE,AG LAND,"20,362"
CENSUS,2017,GRANVILLE,AG LAND,269
CENSUS,2017,GUILFORD,AG LAND,"6,096"
CENSUS,2017,GUILFORD,AG LAND,"25,339"
CENSUS,2017,GUILFORD,AG LAND,"1,667"
CENSUS,2017,ORANGE,AG LAND,"4,593"
CENSUS,2017,ORANGE,AG LAND,"18,128"
CENSUS,2017,ORANGE,AG LAND,"2,291"
CENSUS,2017,PERSON,AG LAND, (D)
CENSUS,2017,PERSON,AG LAND,"33,198"
CENSUS,2017,PERSON,AG LAND, (D)
CENSUS,2017,ROCKINGHAM,AG LAND,"8,508"
CENSUS,2017,ROCKINGHAM,AG LAND,"22,729"
CENSUS,2017,ROCKINGHAM,AG LAND,"1,688"
CENSUS,2017,STOKES,AG LAND,"8,895"
CENSUS,2017,STOKES,AG LAND,"14,232"
CENSUS,2017,STOKES,AG LAND,603
CENSUS,2017,VANCE,AG LAND,"2,962"
CENSUS,2017,VANCE,AG LAND,"11,180"
CENSUS,2017,VANCE,AG LAND,356
CENSUS,2017,WARREN,AG LAND,"4,625"
CENSUS,2017,WARREN,AG LAND,"14,941"
CENSUS,2017,WARREN,AG LAND,748
CENSUS,2017,BLADEN,AG LAND,"12,152"
CENSUS,2017,BLADEN,AG LAND,"39,628"
CENSUS,2017,BLADEN,AG LAND,"9,920"
CENSUS,2017,BRUNSWICK,AG LAND,"1,995"
CENSUS,2017,BRUNSWICK,AG LAND,"18,450"
CENSUS,2017,BRUNSWICK,AG LAND,488
CENSUS,2017,COLUMBUS,AG LAND,"5,440"
CENSUS,2017,COLUMBUS,AG LAND,"84,883"
CENSUS,2017,COLUMBUS,AG LAND,"11,138"
CENSUS,2017,CUMBERLAND,AG LAND,"6,218"
CENSUS,2017,CUMBERLAND,AG LAND,"21,768"
CENSUS,2017,CUMBERLAND,AG LAND,"3,096"
CENSUS,2017,DUPLIN,AG LAND,"32,457"
CENSUS,2017,DUPLIN,AG LAND,"105,469"
CENSUS,2017,DUPLIN,AG LAND,"4,911"
CENSUS,2017,HARNETT,AG LAND,"6,404"
CENSUS,2017,HARNETT,AG LAND,"47,966"
CENSUS,2017,HARNETT,AG LAND,"5,484"
CENSUS,2017,HOKE,AG LAND, (D)
CENSUS,2017,HOKE,AG LAND,"18,887"
CENSUS,2017,HOKE,AG LAND, (D)
CENSUS,2017,NEW HANOVER,AG LAND,65
CENSUS,2017,NEW HANOVER,AG LAND,8
CENSUS,2017,NEW HANOVER,AG LAND,110
CENSUS,2017,ONSLOW,AG LAND,"3,103"
CENSUS,2017,ONSLOW,AG LAND,"24,593"
CENSUS,2017,ONSLOW,AG LAND,"2,088"
CENSUS,2017,PENDER,AG LAND,"7,692"
CENSUS,2017,PENDER,AG LAND,"21,415"
CENSUS,2017,PENDER,AG LAND,"2,303"
CENSUS,2017,ROBESON,AG LAND,"21,873"
CENSUS,2017,ROBESON,AG LAND,"160,559"
CENSUS,2017,ROBESON,AG LAND,"9,715"
CENSUS,2017,SAMPSON,AG LAND,"29,647"
CENSUS,2017,SAMPSON,AG LAND,"128,731"
CENSUS,2017,SAMPSON,AG LAND,"19,488"
CENSUS,2017,SCOTLAND,AG LAND, (D)
CENSUS,2017,SCOTLAND,AG LAND,"20,847"
CENSUS,2017,SCOTLAND,AG LAND, (D)
CENSUS,2017,ANSON,AG LAND,"4,332"
CENSUS,2017,ANSON,AG LAND,"23,678"
